year,region,total_stu,total_teacher,sum
2018,Gangnam-gu,24858,1610,26468
2018,Songpa-gu,31368,2133,33501
2018,Gang Dong-gu,19831,1334,21165
2019,Seoul,422293,28727,451020
2019,Jongno-gu,5463,439,5902
2019,Jung-gu,5181,401,5582
2019,Yongsan-gu ,7273,580,7853
2019,Seongdong-gu,11789,936,12725
2019,Gwangjin-gu,14977,1018,15995
2019,Dongdaemun-gu,13684,937,14621
2019,Jungnang-gu,15176,1071,16247
2019,Seongbuk-gu,21051,1391,22442
2019,Gangbuk-gu,10392,708,11100
2019,Dobong-gu,15561,1023,16584
2019,Nowon-gu,26994,1788,28782
2019,Eunpyeong-gu,21613,1411,23024
2019,Seodaemun-gu,12993,890,13883
2019,Mapo-gu,15272,1086,16358
2019,Yangcheon-gu,24414,1533,25947
2019,Gangseo-gu,27134,1781,28915
2019,Guro-gu,18674,1330,20004
2019,Geumcheon-gu,8880,698,9578
2019,Yeongdeungpo-gu,13891,1057,14948
2019,Dongjak-gu,16257,1060,17317
2019,Gwanak-gu,15246,1105,16351
2019,Seocho-gu,23064,1367,24431
2019,Gangnam-gu,25484,1593,27077
2019,Songpa-gu,32208,2195,34403
2019,Gang Dong-gu,19622,1329,20951
2020,Seoul,409536,28608,438144
2020,Jongno-gu,5192,452,5644
2020,Jung-gu,4990,393,5383
2020,Yongsan-gu ,6870,568,7438
2020,Seongdong-gu,10992,919,11911
2020,Gwangjin-gu,14257,998,15255
2020,Dongdaemun-gu,13157,932,14089
2020,Jungnang-gu,14554,1067,15621
2020,Seongbuk-gu,20086,1359,21445
2020,Gangbuk-gu,9913,703,10616
2020,Dobong-gu,14540,1012,15552
2020,Nowon-gu,25841,1751,27592
2020,Eunpyeong-gu,20400,1408,21808
2020,Seodaemun-gu,12988,906,13894
2020,Mapo-gu,14375,1037,15412
2020,Yangcheon-gu,23985,1555,25540
2020,Gangseo-gu,26078,1756,27834
2020,Guro-gu,18180,1336,19516
2020,Geumcheon-gu,8339,693,9032
2020,Yeongdeungpo-gu,13537,1039,14576
2020,Dongjak-gu,15553,1045,16598
2020,Gwanak-gu,14410,1067,15477
2020,Seocho-gu,22668,1324,23992
2020,Gangnam-gu,25905,1611,27516
2020,Songpa-gu,31373,2173,33546
