year,region,total_teacher
2021,Seongbuk-gu,1354
2021,Gangbuk-gu,689
2021,Dobong-gu,979
2021,Nowon-gu,1716
2021,Eunpyeong-gu,1368
2021,Seodaemun-gu,900
2021,Mapo-gu,1020
2021,Yangcheon-gu,1503
2021,Gangseo-gu,1711
2021,Guro-gu,1300
2021,Geumcheon-gu,672
2021,Yeongdeungpo-gu,1042
2021,Dongjak-gu,1053
2021,Gwanak-gu,1044
2021,Seocho-gu,1330
2021,Gangnam-gu,1624
2021,Songpa-gu,2161
2021,Gang Dong-gu,1527
