year,region,num_school,num_class,total_stu,man_stu,women_stu,total_teacher,man_teacher,women_teacher,total_employee,man_employee,women_emplyee,num_graduate,num_entrant,area,build_area
2015,Eunpyeong-gu,30,984,23918,12421,11497,1519,217,1302,160,82,78,4197,3945,399,298
2015,Seodaemun-gu,18,563,13171,6620,6551,881,126,755,109,52,57,2330,2139,187,179
2015,Mapo-gu,22,720,17117,8788,8329,1174,134,1040,115,50,65,2681,2922,241,212
2015,Yangcheon-gu,30,1024,25237,13141,12096,1526,185,1341,167,76,91,4822,4078,355,287
2015,Gangseo-gu,36,1177,27960,14259,13701,1778,262,1516,193,86,107,4745,4766,418,335
2015,Guro-gu,24,814,19363,9987,9376,1298,188,1110,121,51,70,3073,3494,309,233
2015,Geumcheon-gu,17,430,9610,4898,4712,718,113,605,87,39,48,1573,1550,193,144
2015,Yeongdeungpo-gu,23,676,15078,7940,7138,1117,132,985,125,60,65,2397,2589,300,214
2015,Dongjak-gu,21,698,17474,9059,8415,1115,165,950,118,54,64,2921,2908,246,209
2015,Gwanak-gu,22,744,17747,9174,8573,1227,148,1079,116,47,69,3048,3015,283,223
2015,Seocho-gu,24,839,22817,11706,11111,1289,130,1159,133,53,80,3802,3949,304,210
2015,Gangnam-gu,33,948,24007,12569,11438,1556,132,1424,167,72,95,4295,3987,443,355
2015,Songpa-gu,38,1293,32093,16608,15485,2085,218,1867,197,81,116,5673,5201,459,359
2015,Gang Dong-gu,26,897,21620,11370,10250,1424,171,1253,133,59,74,3799,3679,348,238
2016,Seoul,601,18621,436121,224415,211706,29448,3926,25522,3176,1470,1706,79123,69944,7145,5812
2016,Jongno-gu,13,268,5686,2969,2717,451,59,392,56,22,34,1097,875,112,98
2016,Jung-gu,12,244,5474,2700,2774,405,61,344,72,40,32,959,882,117,98
2016,Yongsan-gu ,15,366,7923,4052,3871,604,73,531,65,25,40,1331,1285,190,117
2016,Seongdong-gu,21,577,12352,6303,6049,963,111,852,115,62,53,2076,1995,201,234
2016,Gwangjin-gu,22,655,15327,7787,7540,1041,143,898,125,63,62,2703,2434,227,203
2016,Dongdaemun-gu,21,615,14212,7349,6863,951,125,826,120,68,52,2604,2347,281,210
2016,Jungnang-gu,23,699,15779,8054,7725,1103,149,954,123,55,68,2860,2597,266,273
2016,Seongbuk-gu,29,926,22467,11618,10849,1459,236,1223,158,69,89,3956,3592,338,302
2016,Gangbuk-gu,14,484,11225,5716,5509,761,147,614,79,38,41,2207,1778,179,149
2016,Dobong-gu,23,736,16760,8625,8135,1087,203,884,120,55,65,3069,2715,278,217
2016,Nowon-gu,42,1277,29482,15138,14344,1915,361,1554,228,114,114,5869,4336,484,364
2016,Eunpyeong-gu,30,966,23037,11949,11088,1491,213,1278,152,79,73,4201,3738,394,299
2016,Seodaemun-gu,19,602,13331,6694,6637,941,128,813,116,55,61,2374,2217,198,195
2016,Mapo-gu,22,711,16361,8353,8008,1164,131,1033,111,48,63,2971,2642,227,212
2016,Yangcheon-gu,30,1020,24825,12890,11935,1536,184,1352,164,78,86,4846,3614,355,287
2016,Gangseo-gu,36,1168,27048,13823,13225,1774,249,1525,190,87,103,4790,4420,416,344
2016,Guro-gu,24,818,19143,9812,9331,1308,182,1126,122,51,71,3003,3330,308,233
2016,Geumcheon-gu,17,422,9189,4681,4508,702,107,595,83,36,47,1651,1514,192,144
2016,Yeongdeungpo-gu,23,670,14449,7583,6866,1099,135,964,121,54,67,2451,2401,300,215
2016,Dongjak-gu,21,685,16887,8734,8153,1099,151,948,117,59,58,2904,2813,247,209
2016,Gwanak-gu,22,735,16883,8669,8214,1198,143,1055,109,47,62,3000,2733,278,224
2016,Seocho-gu,24,853,22595,11569,11026,1323,125,1198,133,57,76,3970,3661,304,212
2016,Gangnam-gu,33,956,24190,12671,11519,1573,135,1438,173,74,99,4713,3709,442,356
2016,Songpa-gu,39,1302,31048,16003,15045,2106,211,1895,199,76,123,5693,5079,464,380
2016,Gang Dong-gu,26,866,20448,10673,9775,1394,164,1230,125,58,67,3825,3237,349,239
2017,Seoul,603,18625,428333,220464,207869,29191,3870,25321,3114,1381,1733,75440,72529,7209,5848
2017,Jongno-gu,13,276,5561,2864,2697,466,69,397,54,21,33,1032,927,117,96
2017,Jung-gu,12,247,5283,2613,2670,398,63,335,73,39,34,916,858,117,98
2017,Yongsan-gu ,15,359,7624,3906,3718,581,65,516,67,29,38,1348,1250,189,117
2017,Seongdong-gu,21,581,12047,6150,5897,954,119,835,111,53,58,2113,2105,200,234
2017,Gwangjin-gu,22,652,15029,7726,7303,1034,141,893,123,65,58,2674,2560,227,203
2017,Dongdaemun-gu,21,609,13930,7215,6715,938,116,822,117,65,52,2320,2394,277,210
2017,Jungnang-gu,23,700,15419,7906,7513,1087,157,930,120,53,67,2683,2654,266,273
2017,Seongbuk-gu,29,907,21897,11265,10632,1399,227,1172,157,64,93,3776,3727,339,302
2017,Gangbuk-gu,14,472,10878,5540,5338,729,142,587,79,34,45,1987,1792,179,150
2017,Dobong-gu,23,726,16242,8381,7861,1061,200,861,116,52,64,2954,2740,279,219
2017,Nowon-gu,42,1245,28364,14557,13807,1874,357,1517,222,105,117,5585,4474,484,367
2017,Eunpyeong-gu,30,956,22409,11596,10813,1452,194,1258,155,70,85,3904,3801,395,299
2017,Seodaemun-gu,19,589,13193,6698,6495,904,118,786,103,48,55,2318,2286,213,196
2017,Mapo-gu,22,700,15850,8092,7758,1150,140,1010,112,45,67,2720,2712,227,213
2017,Yangcheon-gu,30,1029,24526,12695,11831,1540,175,1365,159,70,89,4748,3819,355,288
2017,Gangseo-gu,36,1180,26594,13652,12942,1760,238,1522,191,82,109,4574,4541,424,344
2017,Guro-gu,24,821,18965,9696,9269,1313,167,1146,118,47,71,2948,3469,308,233
2017,Geumcheon-gu,18,446,9030,4599,4431,731,119,612,85,34,51,1523,1612,202,156
2017,Yeongdeungpo-gu,23,675,13905,7220,6685,1092,139,953,117,50,67,2323,2369,300,215
2017,Dongjak-gu,21,682,16698,8659,8039,1075,140,935,110,51,59,2772,2957,259,212
2017,Gwanak-gu,22,724,16227,8325,7902,1170,155,1015,101,44,57,2783,2779,279,224
